snapshot_date,total_downloads,new_install_downloads,update_downloads,latest_tag,latest_new_install_downloads,update_checks_7d,active_installs_est
2026-06-06,53,47,6,v0.5.3,0,,
2026-06-06,54,47,7,v0.5.3,0,1,0
2026-06-06,54,47,7,v0.5.3,0,2,0
2026-06-08,67,54,13,v0.7.0,0,10,1
2026-06-10,76,58,18,v0.9.0,0,16,2
2026-06-11,84,61,23,v0.9.1,0,24,3
2026-06-14,101,65,36,v0.10.0,4,46,7
2026-06-15,106,70,36,v0.10.0,9,41,6
2026-06-15,107,70,37,v0.10.0,9,43,6
2026-06-19,119,77,42,v0.10.0,16,34,5
2026-06-22,126,81,45,v0.10.0,20,61,9
2026-06-29,138,90,48,v0.10.0,29,49,7
2026-07-06,159,100,59,v0.10.0,39,67,10
2026-07-13,175,109,66,v0.10.0,48,99,14
2026-07-20,196,122,74,v0.10.0,61,104,15
2026-07-27,214,129,85,v0.10.0,68,93,13
2026-08-03,224,136,88,v0.10.0,75,120,17
2026-08-10,245,151,94,v0.10.0,90,114,16
2026-08-17,260,158,102,v0.11.0,0,136,19
